Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Montezuma,NA,0.349,0.642,0.395,0.745,0.45,0.84,0.499,0.873,0.621,0.919,0.714,0.951,0.803,0.966,0.977,0.978,1.214,0.978,1.593,0.984,1920-09-01,1
Montezuma,NA,0.349,0.655,0.395,0.765,0.45,0.855,0.499,0.886,0.621,0.926,0.714,0.966,0.803,0.976,0.977,0.983,1.214,0.98,1.593,0.987,1920-09-02,2
Montezuma,NA,0.349,0.657,0.395,0.747,0.45,0.834,0.499,0.871,0.621,0.917,0.714,0.96,0.803,0.974,0.977,0.981,1.214,0.976,1.593,0.983,1920-09-06,3
Montezuma,NA,0.349,0.668,0.395,0.76,0.45,0.85,0.499,0.88,0.621,0.923,0.714,0.96,0.803,0.973,0.977,0.982,1.214,0.98,1.593,0.988,1920-09-07,4
Montezuma,NA,0.349,0.648,0.395,0.762,0.45,0.853,0.499,0.881,0.621,0.924,0.714,0.696,0.803,0.976,0.977,0.982,1.214,0.981,1.593,0.987,1920-09-08,5
Montezuma,NA,0.349,0.655,0.395,0.761,0.45,0.85,0.499,0.885,0.621,0.925,0.714,0.96,0.803,0.976,0.977,0.982,1.214,0.984,1.593,0.99,1920-09-10,6
Montezuma,NA,0.349,0.651,0.395,0.741,0.45,0.83,0.499,0.876,0.621,0.919,0.714,0.957,0.803,0.973,0.977,0.978,1.214,0.983,1.593,0.981,1920-09-12,7
Montezuma,NA,0.349,0.665,0.395,0.753,0.45,0.841,0.499,0.877,0.621,0.92,0.714,0.961,0.803,0.973,0.977,0.98,1.214,0.982,1.593,0.982,1920-09-14,8
Montezuma,NA,0.349,0.641,0.395,0.762,0.45,0.85,0.499,0.885,0.621,0.923,0.714,0.963,0.803,0.976,0.977,0.983,1.214,0.982,1.593,0.985,1920-09-17,9
Montezuma,NA,0.349,0.654,0.395,0.762,0.45,0.85,0.499,0.883,0.621,0.925,0.714,0.966,0.803,0.976,0.977,0.984,1.214,0.984,1.593,0.99,1920-09-18,10
Montezuma,NA,0.349,0.648,0.395,0.757,0.45,0.85,0.499,0.882,0.621,0.922,0.714,0.96,0.803,0.974,0.977,0.985,1.214,0.985,1.593,0.985,1920-09-24,11
Montezuma,NA,0.349,0.652,0.395,0.752,0.45,0.843,0.499,0.881,0.621,0.923,0.714,0.97,0.803,0.98,0.977,0.987,1.214,0.987,1.593,0.99,1920-09-25,12
Montezuma,NA,0.349,0.665,0.395,0.765,0.45,0.853,0.499,0.887,0.621,0.932,0.714,0.969,0.803,0.979,0.977,0.982,1.214,0.984,1.593,0.989,1920-10-05,13
Montezuma,NA,0.349,0.653,0.395,0.777,0.45,0.851,0.499,0.875,0.621,0.927,0.714,0.963,0.803,0.973,0.977,0.981,1.214,0.981,1.593,0.982,1920-10-11,14
Montezuma,NA,0.349,0.644,0.395,0.753,0.45,0.84,0.499,0.868,0.621,0.915,0.714,0.953,0.803,0.961,0.977,0.973,1.214,0.972,1.593,0.974,1920-10-16,15
Montezuma,NA,0.349,0.684,0.395,0.765,0.45,0.845,0.499,0.88,0.621,0.927,0.714,0.954,0.803,0.967,0.977,0.972,1.214,0.672,1.593,0.976,1920-10-21,16
